View,Metablock,Subblock,TrialInBlock,Action,Location
Mirror,1,1,1,WholeHand,Right
Mirror,1,1,2,WholeHand,Left
Mirror,1,1,3,WholeHand,Right
Mirror,1,1,4,WholeHand,Right
Mirror,1,1,5,WholeHand,Left
Mirror,1,1,6,WholeHand,Left
Mirror,1,2,1,Touch,Left
Mirror,1,2,2,Touch,Right
Mirror,1,2,3,Touch,Left
Mirror,1,2,4,Touch,Left
Mirror,1,2,5,Touch,Right
Mirror,1,2,6,Touch,Right
Mirror,1,3,1,Precision,Right
Mirror,1,3,2,Precision,Left
Mirror,1,3,3,Precision,Left
Mirror,1,3,4,Precision,Left
Mirror,1,3,5,Precision,Right
Mirror,1,3,6,Precision,Right
Mirror,2,1,1,Precision,Right
Mirror,2,1,2,Precision,Left
Mirror,2,1,3,Precision,Right
Mirror,2,1,4,Precision,Left
Mirror,2,1,5,Precision,Left
Mirror,2,1,6,Precision,Right
Mirror,2,2,1,WholeHand,Right
Mirror,2,2,2,WholeHand,Right
Mirror,2,2,3,WholeHand,Left
Mirror,2,2,4,WholeHand,Left
Mirror,2,2,5,WholeHand,Right
Mirror,2,2,6,WholeHand,Left
Mirror,2,3,1,Touch,Left
Mirror,2,3,2,Touch,Right
Mirror,2,3,3,Touch,Right
Mirror,2,3,4,Touch,Right
Mirror,2,3,5,Touch,Left
Mirror,2,3,6,Touch,Left
Mirror,3,1,1,Precision,Left
Mirror,3,1,2,Precision,Right
Mirror,3,1,3,Precision,Left
Mirror,3,1,4,Precision,Right
Mirror,3,1,5,Precision,Left
Mirror,3,1,6,Precision,Right
Mirror,3,2,1,Touch,Left
Mirror,3,2,2,Touch,Right
Mirror,3,2,3,Touch,Left
Mirror,3,2,4,Touch,Right
Mirror,3,2,5,Touch,Right
Mirror,3,2,6,Touch,Left
Mirror,3,3,1,WholeHand,Right
Mirror,3,3,2,WholeHand,Right
Mirror,3,3,3,WholeHand,Left
Mirror,3,3,4,WholeHand,Left
Mirror,3,3,5,WholeHand,Left
Mirror,3,3,6,WholeHand,Right
Mirror,4,1,1,Touch,Left
Mirror,4,1,2,Touch,Left
Mirror,4,1,3,Touch,Right
Mirror,4,1,4,Touch,Right
Mirror,4,1,5,Touch,Right
Mirror,4,1,6,Touch,Left
Mirror,4,2,1,WholeHand,Left
Mirror,4,2,2,WholeHand,Left
Mirror,4,2,3,WholeHand,Right
Mirror,4,2,4,WholeHand,Right
Mirror,4,2,5,WholeHand,Left
Mirror,4,2,6,WholeHand,Right
Mirror,4,3,1,Precision,Right
Mirror,4,3,2,Precision,Left
Mirror,4,3,3,Precision,Right
Mirror,4,3,4,Precision,Left
Mirror,4,3,5,Precision,Right
Mirror,4,3,6,Precision,Left
Mirror,5,1,1,Touch,Right
Mirror,5,1,2,Touch,Left
Mirror,5,1,3,Touch,Left
Mirror,5,1,4,Touch,Right
Mirror,5,1,5,Touch,Left
Mirror,5,1,6,Touch,Right
Mirror,5,2,1,Precision,Right
Mirror,5,2,2,Precision,Right
Mirror,5,2,3,Precision,Left
Mirror,5,2,4,Precision,Right
Mirror,5,2,5,Precision,Left
Mirror,5,2,6,Precision,Left
Mirror,5,3,1,WholeHand,Left
Mirror,5,3,2,WholeHand,Left
Mirror,5,3,3,WholeHand,Right
Mirror,5,3,4,WholeHand,Left
Mirror,5,3,5,WholeHand,Right
Mirror,5,3,6,WholeHand,Right
Mirror,6,1,1,WholeHand,Left
Mirror,6,1,2,WholeHand,Right
Mirror,6,1,3,WholeHand,Right
Mirror,6,1,4,WholeHand,Left
Mirror,6,1,5,WholeHand,Left
Mirror,6,1,6,WholeHand,Right
Mirror,6,2,1,Precision,Left
Mirror,6,2,2,Precision,Right
Mirror,6,2,3,Precision,Right
Mirror,6,2,4,Precision,Left
Mirror,6,2,5,Precision,Right
Mirror,6,2,6,Precision,Left
Mirror,6,3,1,Touch,Right
Mirror,6,3,2,Touch,Left
Mirror,6,3,3,Touch,Left
Mirror,6,3,4,Touch,Right
Mirror,6,3,5,Touch,Right
Mirror,6,3,6,Touch,Left
