Participant,Run,View,Metablock1,Metablock2,Metablock3,Metablock4,Metablock5,Metablock6
1,1,Direct,WPT,TWP,PWT,TPW,WTP,PTW
1,2,Direct,PTW,WTP,TPW,PWT,TWP,WPT
1,3,Direct,TPW,WPT,WTP,TWP,PTW,PWT
1,4,Mirror,PWT,PTW,TWP,WTP,WPT,TPW
1,5,Mirror,TWP,TPW,PTW,WPT,PWT,WTP
1,6,Mirror,WTP,PWT,WPT,PTW,TPW,TWP
2,1,Mirror,PTW,WTP,TPW,PWT,WPT,TWP
2,2,Mirror,TPW,PTW,WPT,WTP,TWP,PWT
2,3,Mirror,WTP,PWT,PTW,TWP,TPW,WPT
2,4,Direct,TWP,WPT,PWT,TPW,WTP,PTW
2,5,Direct,PWT,TWP,WTP,WPT,PTW,TPW
2,6,Direct,WPT,TPW,TWP,PTW,PWT,WTP
3,1,Direct,TPW,TWP,WPT,PWT,WTP,PTW
3,2,Direct,WTP,WPT,PTW,TPW,PWT,TWP
3,3,Direct,PWT,PTW,TWP,WTP,TPW,WPT
3,4,Mirror,WPT,TPW,WTP,TWP,PTW,PWT
3,5,Mirror,TWP,PWT,TPW,PTW,WPT,WTP
3,6,Mirror,PTW,WTP,PWT,WPT,TWP,TPW
4,1,Mirror,PWT,WTP,WPT,PTW,TWP,TPW
4,2,Mirror,WPT,PWT,TWP,WTP,TPW,PTW
4,3,Mirror,TWP,WPT,TPW,PWT,PTW,WTP
4,4,Direct,PTW,TPW,WTP,TWP,PWT,WPT
4,5,Direct,WTP,PTW,PWT,TPW,WPT,TWP
4,6,Direct,TPW,TWP,PTW,WPT,WTP,PWT
5,1,Direct,TWP,PTW,TPW,WTP,PWT,WPT
5,2,Direct,PWT,TPW,TWP,WPT,WTP,PTW
5,3,Direct,WTP,TWP,PWT,PTW,WPT,TPW
5,4,Mirror,WPT,PWT,WTP,TPW,PTW,TWP
5,5,Mirror,TPW,WPT,PTW,PWT,TWP,WTP
5,6,Mirror,PTW,WTP,WPT,TWP,TPW,PWT
6,1,Mirror,WTP,PWT,TWP,TPW,PTW,WPT
6,2,Mirror,TWP,WTP,PTW,PWT,WPT,TPW
6,3,Mirror,PTW,TWP,WPT,WTP,TPW,PWT
6,4,Direct,TPW,WPT,PWT,PTW,WTP,TWP
6,5,Direct,WPT,PTW,TPW,TWP,PWT,WTP
6,6,Direct,PWT,TPW,WTP,WPT,TWP,PTW
7,1,Direct,TPW,PWT,TWP,WPT,WTP,PTW
7,2,Direct,PWT,WPT,TPW,PTW,TWP,WTP
7,3,Direct,WTP,TWP,PTW,TPW,WPT,PWT
7,4,Mirror,TWP,TPW,WTP,PWT,PTW,WPT
7,5,Mirror,WPT,PTW,PWT,WTP,TPW,TWP
7,6,Mirror,PTW,WTP,WPT,TWP,PWT,TPW
8,1,Mirror,TWP,PTW,WPT,PWT,TPW,WTP
8,2,Mirror,PWT,TWP,TPW,PTW,WTP,WPT
8,3,Mirror,WTP,TPW,PWT,WPT,PTW,TWP
8,4,Direct,TPW,WPT,TWP,WTP,PWT,PTW
8,5,Direct,PTW,PWT,WTP,TWP,WPT,TPW
8,6,Direct,WPT,WTP,PTW,TPW,TWP,PWT
9,1,Direct,WTP,PTW,PWT,TWP,TPW,WPT
9,2,Direct,PWT,WTP,TPW,PTW,WPT,TWP
9,3,Direct,TPW,PWT,WPT,WTP,TWP,PTW
9,4,Mirror,TWP,WPT,PTW,TPW,WTP,PWT
9,5,Mirror,WPT,TPW,TWP,PWT,PTW,WTP
9,6,Mirror,PTW,TWP,WTP,WPT,PWT,TPW
10,1,Mirror,PWT,TWP,TPW,PTW,WTP,WPT
10,2,Mirror,WTP,TPW,WPT,PWT,PTW,TWP
10,3,Mirror,TPW,PWT,WTP,TWP,WPT,PTW
10,4,Direct,PTW,WPT,TWP,WTP,PWT,TPW
10,5,Direct,WPT,WTP,PTW,TPW,TWP,PWT
10,6,Direct,TWP,PTW,PWT,WPT,TPW,WTP
11,1,Direct,WPT,WTP,TPW,PTW,PWT,TWP
11,2,Direct,TPW,WPT,PWT,WTP,TWP,PTW
11,3,Direct,PWT,TPW,TWP,WPT,PTW,WTP
11,4,Mirror,PTW,TWP,WTP,PWT,WPT,TPW
11,5,Mirror,WTP,PTW,WPT,TWP,TPW,PWT
11,6,Mirror,TWP,PWT,PTW,TPW,WTP,WPT
12,1,Mirror,PTW,WPT,WTP,PWT,TWP,TPW
12,2,Mirror,TWP,WTP,TPW,PTW,PWT,WPT
12,3,Mirror,WTP,PTW,TWP,WPT,TPW,PWT
12,4,Direct,TPW,TWP,PWT,WTP,WPT,PTW
12,5,Direct,WPT,PWT,PTW,TPW,WTP,TWP
12,6,Direct,PWT,TPW,WPT,TWP,PTW,WTP
13,1,Direct,PWT,WTP,WPT,PTW,TWP,TPW
13,2,Direct,TWP,WPT,PWT,TPW,PTW,WTP
13,3,Direct,WPT,TPW,WTP,TWP,PWT,PTW
13,4,Mirror,PTW,PWT,TWP,WTP,TPW,WPT
13,5,Mirror,TPW,TWP,PTW,WPT,WTP,PWT
13,6,Mirror,WTP,PTW,TPW,PWT,WPT,TWP
14,1,Mirror,WPT,PWT,WTP,PTW,TWP,TPW
14,2,Mirror,TWP,WTP,WPT,TPW,PTW,PWT
14,3,Mirror,PTW,WPT,TWP,PWT,TPW,WTP
14,4,Direct,PWT,PTW,TPW,WPT,WTP,TWP
14,5,Direct,TPW,TWP,PTW,WTP,PWT,WPT
14,6,Direct,WTP,TPW,PWT,TWP,WPT,PTW
15,1,Direct,PTW,TPW,TWP,WTP,PWT,WPT
15,2,Direct,TWP,PTW,PWT,TPW,WPT,WTP
15,3,Direct,WPT,PWT,WTP,TWP,TPW,PTW
15,4,Mirror,TPW,WTP,PTW,WPT,TWP,PWT
15,5,Mirror,PWT,TWP,WPT,PTW,WTP,TPW
15,6,Mirror,WTP,WPT,TPW,PWT,PTW,TWP
16,1,Mirror,TPW,WTP,PWT,WPT,TWP,PTW
16,2,Mirror,PTW,TWP,WPT,PWT,WTP,TPW
16,3,Mirror,WPT,PTW,WTP,TWP,TPW,PWT
16,4,Direct,WTP,WPT,TPW,PTW,PWT,TWP
16,5,Direct,TWP,PWT,PTW,TPW,WPT,WTP
16,6,Direct,PWT,TPW,TWP,WTP,PTW,WPT
17,1,Direct,WTP,WPT,PTW,PWT,TWP,TPW
17,2,Direct,TWP,PTW,TPW,WTP,PWT,WPT
17,3,Direct,PWT,TPW,WPT,TWP,WTP,PTW
17,4,Mirror,PTW,WTP,TWP,WPT,TPW,PWT
17,5,Mirror,TPW,TWP,PWT,PTW,WPT,WTP
17,6,Mirror,WPT,PWT,WTP,TPW,PTW,TWP
18,1,Mirror,TWP,WTP,PWT,PTW,WPT,TPW
18,2,Mirror,PTW,TWP,WPT,WTP,TPW,PWT
18,3,Mirror,WPT,PWT,TWP,TPW,PTW,WTP
18,4,Direct,WTP,PTW,TPW,TWP,PWT,WPT
18,5,Direct,PWT,TPW,WTP,WPT,TWP,PTW
18,6,Direct,TPW,WPT,PTW,PWT,WTP,TWP
19,1,Direct,TWP,WPT,WTP,PWT,PTW,TPW
19,2,Direct,PTW,WTP,TPW,TWP,PWT,WPT
19,3,Direct,WPT,PWT,TWP,TPW,WTP,PTW
19,4,Mirror,WTP,TWP,PTW,WPT,TPW,PWT
19,5,Mirror,TPW,PTW,PWT,WTP,WPT,TWP
19,6,Mirror,PWT,TPW,WPT,PTW,TWP,WTP
20,1,Mirror,WPT,WTP,TWP,PTW,TPW,PWT
20,2,Mirror,PTW,PWT,WTP,TPW,WPT,TWP
20,3,Mirror,TPW,TWP,PWT,WPT,PTW,WTP
20,4,Direct,TWP,WPT,TPW,WTP,PWT,PTW
20,5,Direct,PWT,TPW,PTW,TWP,WTP,WPT
20,6,Direct,WTP,PTW,WPT,PWT,TWP,TPW
21,1,Direct,PTW,WTP,TPW,PWT,TWP,WPT
21,2,Direct,WPT,TWP,PWT,TPW,WTP,PTW
21,3,Direct,TWP,TPW,PTW,WPT,PWT,WTP
21,4,Mirror,TPW,WPT,WTP,TWP,PTW,PWT
21,5,Mirror,WTP,PWT,WPT,PTW,TPW,TWP
21,6,Mirror,PWT,PTW,TWP,WTP,WPT,TPW
22,1,Mirror,WTP,TPW,PTW,TWP,PWT,WPT
22,2,Mirror,TPW,TWP,WPT,WTP,PTW,PWT
22,3,Mirror,PTW,WPT,TPW,PWT,WTP,TWP
22,4,Direct,WPT,PWT,TWP,PTW,TPW,WTP
22,5,Direct,PWT,PTW,WTP,WPT,TWP,TPW
22,6,Direct,TWP,WTP,PWT,TPW,WPT,PTW
23,1,Direct,PWT,WTP,TPW,TWP,WPT,PTW
23,2,Direct,WTP,TWP,PWT,PTW,TPW,WPT
23,3,Direct,TPW,PWT,WPT,WTP,PTW,TWP
23,4,Mirror,WPT,TPW,PTW,PWT,TWP,WTP
23,5,Mirror,TWP,PTW,WTP,WPT,PWT,TPW
23,6,Mirror,PTW,WPT,TWP,TPW,WTP,PWT
24,1,Mirror,TPW,TWP,WTP,PTW,PWT,WPT
24,2,Mirror,WTP,TPW,PWT,TWP,WPT,PTW
24,3,Mirror,PWT,WTP,WPT,TPW,PTW,TWP
24,4,Direct,WPT,PWT,PTW,WTP,TWP,TPW
24,5,Direct,PTW,WPT,TWP,PWT,TPW,WTP
24,6,Direct,TWP,PTW,TPW,WPT,WTP,PWT
