Participant,Run,View,Metablock1,Metablock2,Metablock3,Metablock4,Metablock5,Metablock6,Touch_TrialPermIndex_1,Touch_TrialPermIndex_2,Touch_TrialPermIndex_3,Touch_TrialPermIndex_4,Touch_TrialPermIndex_5,Touch_TrialPermIndex_6,Precision_TrialPermIndex_1,Precision_TrialPermIndex_2,Precision_TrialPermIndex_3,Precision_TrialPermIndex_4,Precision_TrialPermIndex_5,Precision_TrialPermIndex_6,WholeHand_TrialPermIndex_1,WholeHand_TrialPermIndex_2,WholeHand_TrialPermIndex_3,WholeHand_TrialPermIndex_4,WholeHand_TrialPermIndex_5,WholeHand_TrialPermIndex_6
1,1,Direct,WPT,TWP,PWT,TPW,WTP,PTW,8,14,1,6,4,3,7,10,11,13,12,16,5,18,2,17,9,15
1,2,Direct,PTW,WTP,TPW,PWT,TWP,WPT,5,9,17,18,10,13,15,14,1,2,3,8,4,11,16,7,12,6
1,3,Direct,TPW,WPT,WTP,TWP,PTW,PWT,15,16,2,12,11,7,5,17,4,9,18,6,3,1,8,14,10,13
1,4,Mirror,PWT,PTW,TWP,WTP,WPT,TPW,18,15,4,9,11,14,2,1,3,10,12,8,6,17,13,7,16,5
1,5,Mirror,TWP,TPW,PTW,WPT,PWT,WTP,12,3,1,7,13,5,16,4,9,17,6,15,11,18,8,2,14,10
1,6,Mirror,WTP,PWT,WPT,PTW,TPW,TWP,17,16,2,6,10,8,18,11,14,7,5,13,9,4,15,12,1,3
2,1,Mirror,PTW,WTP,TPW,PWT,WPT,TWP,10,17,1,13,16,2,9,6,15,11,12,7,8,4,3,14,5,18
2,2,Mirror,TPW,PTW,WPT,WTP,TWP,PWT,15,7,5,8,18,14,16,17,2,1,3,4,9,12,10,13,6,11
2,3,Mirror,WTP,PWT,PTW,TWP,TPW,WPT,4,9,6,3,11,12,10,13,5,14,18,8,15,17,16,2,1,7
2,4,Direct,TWP,WPT,PWT,TPW,WTP,PTW,14,13,5,4,11,7,16,8,15,18,3,2,17,9,12,6,10,1
2,5,Direct,PWT,TWP,WTP,WPT,PTW,TPW,10,2,8,1,6,17,4,9,14,12,11,5,13,15,18,3,7,16
2,6,Direct,WPT,TPW,TWP,PTW,PWT,WTP,16,12,3,15,9,18,6,1,13,17,7,10,8,5,14,11,2,4
3,1,Direct,TPW,TWP,WPT,PWT,WTP,PTW,15,1,12,13,8,17,10,2,7,16,14,9,11,5,4,6,18,3
3,2,Direct,WTP,WPT,PTW,TPW,PWT,TWP,16,4,11,5,14,6,17,8,3,15,12,18,10,2,1,7,9,13
3,3,Direct,PWT,PTW,TWP,WTP,TPW,WPT,2,3,10,18,7,9,4,13,6,5,1,11,14,17,15,12,8,16
3,4,Mirror,WPT,TPW,WTP,TWP,PTW,PWT,18,7,14,10,16,5,3,17,1,15,9,6,13,2,11,4,12,8
3,5,Mirror,TWP,PWT,TPW,PTW,WPT,WTP,11,17,13,6,9,12,8,10,4,7,2,16,5,14,18,3,1,15
